Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing
56P0416,427482,437000
56P0740,429694,432311
56P1224,421854,433953
56P1224,421854,433953
56P1254,427127,439287
56P1418,433274,426151
56P1524,431510,435135
56P1541,430871,436845
56P1601,427370,433647
56P1737,435062,435758
56Q0406,434622,441226
56Q0406,434622,441226
56Q0491,429434,433461
56Q1275,427490,431336
56Q1543,432057,435968
56R0168,425072,435189
56R0350,428116,426285
56R0934,435700,436973
56R0934,435700,436973
56R0947,427915,433639
56R1097,430660,434702
56R1097,430660,434702
56R1163,431417,434272
56R1266,434937,434644
56R1295,436445,434702
56R1295,436445,434702
56R2028,429369,433781
56S0317,428272,426395
56S0317,428272,426395
56S0317,428272,426395
56S0411,435025,436373
56S0456,429390,433815
56S0469,432055,435969
56S0632,427181,435270
56S1005,431697,426392
56S1258,429340,437270
56S1295,434482,434612
56S1295,434482,434612
56S1307,428661,426428
56S1307,428661,426428
56S1737,419270,446311
56T0678,428224,429487
56T1690,429456,434910
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0266,423867,437663
56U0377,426218,434033
56U0377,426218,434033
56U0755,430667,433655
56U0755,430667,433655
56U1100,428438,435711
56U1218,428369,431617
56U1218,428369,431617
56U1218,428369,431617
56U1218,428369,431617
56U1218,428369,431617
56U1570,430931,429752
56U1571,430000,438583
56U1853,431717,436074
5710014,430028,433333
5710764,429120,432170
5711414,430939,435679
5711464,440475,447662
5711538,427636,435972
5711568,443302,445917
5711568,443302,445917
5712160,430794,431964
5720328,433362,425663
5720330,431071,434566
5721098,430892,433813
5721294,426440,428516
5721335,431343,433944
5721335,431343,433944
5721647,422818,435383
5721924,424118,428137
5721924,424118,428137
5721924,424118,428137
5722273,425925,426689
5730296,440438,446501
5730296,440438,446501
5730426,436160,436039
5730829,432149,434962
5731011,430838,434444
5731394,431646,435322
5731394,431646,435322
5740995,428408,432474
5741533,431863,435667
5741767,427035,431627
5741979,429888,431110
5750302,429442,430221
5750710,425099,440609
5751085,436172,434557
5751468,429305,431834
5751481,431427,432648
5751481,431427,432648
5752001,424742,434883
5760486,430006,428095
5760933,427979,430315
5761009,421953,436530
5761009,421953,436530
5761164,441722,444181
5762393,427452,431884
5762393,427452,431884
5762412,429163,431600
5770746,421915,446013
5772001,432042,435570
5781839,427061,431802
5781839,427061,431802
5781839,427061,431802
5791589,430068,435412
5792001,430802,433273
5792001,430802,433273
5792001,430802,433273
5792001,430802,433273
5792363,431969,435837
5792363,431969,435837
5792363,431969,435837
57A0418,432398,433687
57B0236,432444,433799
57B1301,420308,434231
57B1427,429847,430831
57B1616,423847,443911
57B2176,428430,434981
57C0143,425336,432728
57C1009,428550,435467
57C1466,422932,435659
57D0603,430996,428274
57D0744,436781,434702
57D0744,436781,434702
57D1562,422350,428532
57D1870,428514,433060
57D1870,428514,433060
57D2007,432191,438846
57E0882,428834,434633
57E0882,428834,434633
57E1689,436543,436647
57F0738,421705,435585
57F1030,426408,428193
57F1049,425400,440556
57F1049,425400,440556
57F2058,431966,431243
57F2058,431966,431243
57G1209,426853,441340
57G1209,426853,441340
57G1403,430036,432503
57G1439,424578,435162
57G1530,443381,428630
57G1530,443381,428630
57G1531,430141,429926
57G2090,430781,438592
57H0311,422880,439314
57H0504,425725,442965
57H0567,428775,425802
57H1464,439141,432086
57H1760,429933,427362
57I0949,430757,438842
57I1268,424470,433644
57I1268,424470,433644
57J0417,426992,437455
57J0445,436005,435768
57K0391,431365,433768
57K1327,420961,439970
57K1628,429125,433510
57K1685,427740,425074
57K2129,421723,435141
57K2129,421723,435141
57M1205,436311,435756
57M1356,421192,440443
57M1543,423085,444586
57N0424,426925,433434
57O0380,419417,441694
57O0380,419417,441694
57O0380,419417,441694
57O1099,429768,433594
57O1304,430070,433831
57O1424,421167,434475
57O1833,428141,435847
57P0643,440485,449152
57P0643,440485,449152
57P0749,429835,444903
57P0960,431134,426524
57P1851,425450,428564
57P1851,425450,428564
57Q1077,433480,435111
57Q1077,433480,435111
57Q1077,433480,435111
57Q1595,430617,432659
57Q1595,430617,432659
57Q1904,426805,432071
57R0574,428393,434072
57R0785,428444,427381
57R1000,443590,437926
57R1000,443590,437926
57R1000,443590,437926
57R1147,431203,428830
57S1169,425540,432573
57S1169,425540,432573
57S1894,430185,433924
57T1218,422595,432818
57T1504,433562,434960
57T1698,428012,424363
57U0895,430863,434189
57U1349,431915,428213
57U1496,426269,434031
57V0747,420337,437129
57V1105,423571,434342
57V1380,430261,433751
57V1541,429990,431009
5810777,417956,442938
5810793,432519,427209
5810794,431384,432387
5811528,431883,435258
5811727,432855,435969
5811845,430453,431650
5812124,431879,435362
5820526,433151,426329
5821436,428400,430476
5821942,429287,435065
5822057,430892,436416
5830755,432167,438806
5830755,432167,438806
5830755,432167,438806
5830993,434502,437179
5831173,436344,436609
5831346,432321,436216
5831990,433795,437143
5831990,433795,437143
5832124,428849,431623
5841254,436099,434818
5841303,435672,434959
5841440,428838,436574
5850339,418943,441618
5850615,436172,427678
5851272,429913,433798
5851272,429913,433798
5851554,428907,435508
5860620,427559,425418
5860974,429738,432940
5860974,429738,432940
5861096,430953,435784
5870425,429136,433091
5871023,438616,429677
5872058,426301,435528
5880378,428800,431635
5890376,421388,444901
5890759,429389,428107
5890925,434860,437986
5891133,430083,431196
5891270,433021,434136
5891270,433021,434136
5891270,433021,434136
5891423,425042,433160
5891432,432309,434658
5891451,433219,430020
5891451,433219,430020
5891725,429769,430729
5891970,424992,432896
58A0430,430800,433273
58A0479,428934,429851
58A0751,430261,433751
58A0781,436168,434462
58A1784,433105,432725
58B0940,433873,434068
58B0940,433873,434068
58B1078,430808,433272
58B9999,428004,426232
58C1036,434804,428897
58C1229,431083,436053
58C1412,429738,432940
58D0398,430278,431938
58D0477,429146,432000
58D0477,429146,432000
58D0592,430078,433890
58E1131,422028,436565
58E1131,422028,436565
58F0056,426720,426699
58F1534,427340,427812
58G0123,431320,435044
58G0689,431622,434439
58G0696,426576,433900
58G1310,430400,437873
58G1314,430301,433388
58G1532,425993,429974
58G1947,428526,429635
58H0461,431996,432335
58H1535,420075,439061
58H1705,428581,431546
58I0137,429109,433835
58I0137,429109,433835
58I0281,441054,432041
58I1017,436717,436673
58I1042,431970,435823
58J0457,419786,434051
58J0664,432460,438848
58J0719,428395,434074
58K0771,421711,442269
58K1318,431457,430270
58K1318,431457,430270
58K1318,431457,430270
58K1318,431457,430270
58K1318,431457,430270
58K1318,431457,430270
58K1318,431457,430270
58K1318,431457,430270
58K1318,431457,430270
58L1429,434109,433900
58L1429,434109,433900
58L1538,429201,426408
58L1538,429201,426408
58L1538,429201,426408
58L1538,429201,426408
58L1538,429201,426408
58L1538,429201,426408
58L1743,440441,447671
58M0654,433260,435138
58M0706,423923,429722
58M0900,423150,437706
58M1371,435690,433910
58M1951,428463,431347
58M1951,428463,431347
58M1951,428463,431347
58N0284,428389,436282
58N0339,430839,433997
58N0386,433229,427628
58N0589,427485,437003
58N1280,432642,435860
58N1280,432642,435860
58O0326,432158,429927
58O1202,428500,433156
58O1973,427499,431339
58P0450,429248,426734
58P0570,423953,435420
58P0856,440111,439656
58P0856,440111,439656
58P0856,440111,439656
58P0856,440111,439656
58P1294,431766,432874
58P1534,430588,430943
58Q0081,429102,432195
58Q0261,432124,428919
58Q0818,430810,433889
58Q1030,422428,441625
58Q1030,422428,441625
58Q1723,434069,429931
58Q1867,429940,427145
58R0046,434354,435346
58R0264,423562,442239
58R1084,423998,428000
58R1478,431010,430543
58R1478,431010,430543
58R1906,438013,438405
58R1906,438013,438405
58R1906,438013,438405
58S0489,428108,426286
58S0489,428108,426286
58S0489,428108,426286
58S0994,421853,441244
58S1018,431400,438788
58T0400,427071,433707
58T0767,429968,433226
58T0856,421107,433294
58T0974,431165,433640
58T1070,429148,431765
58T1142,423062,437684
58T1142,423062,437684
58T1230,433654,427664
58U1588,424447,438618
58U1823,425040,432198
58U1823,425040,432198
5910852,428588,431554
5911152,431707,439185
5911462,427122,425011
5911541,439254,430998
5911546,419655,446209
5911607,431675,435361
5911607,431675,435361
5911677,431509,435136
5930452,435267,439745
5930452,435267,439745
5931499,428278,429576
5931624,440487,433192
5931935,428393,440975
5940374,424968,427566
5940805,430085,433375
5941215,431627,435288
5950415,430902,430369
5951304,431950,428204
5951304,431950,428204
5951581,440551,431707
5960358,425559,434144
5960391,427365,430359
5970290,422418,445882
5970615,425975,436959
5971157,435491,437254
5971218,427870,436243
5971248,424027,438357
5971435,420753,434401
5981071,432576,429813
5981111,428809,432611
5981387,426686,435053
5981573,428477,427504
5981573,428477,427504
5981680,429570,434796
5981774,425676,435401
5990850,444733,436442
59A0556,420201,445700
59A0687,419047,441963
59A0976,427565,436881
59A0976,427565,436881
59A1274,430075,433369
59B0209,432176,426123
59B1023,424092,428107
59B1023,424092,428107
59B1732,426347,433090
59B1865,427524,428078
59B1865,427524,428078
59C0465,427552,431986
59C0786,432504,427064
59C0943,433471,441811
59C1006,426897,439315
59C1241,426179,427665
59C1891,431465,432699
59D0345,421712,443901
59D0828,431757,435448
59D0832,434525,438222
59D0889,425342,443246
59D0889,425342,443246
59D0907,433113,435004
59D1624,422281,436821
59E0535,433128,436118
59E0619,418973,442061
59E0694,421371,441020
59E0891,429962,430873
59E1108,428289,429572
59E1281,421684,436146
59E1586,429753,423575
59E2085,427531,438609
59E2085,427531,438609
59G0971,427340,429633
59G1509,443475,438421
59G1726,433790,434702
59H0458,427742,433704
59H0870,430816,439623
59H1629,440761,433434
59I0614,429873,433796
59I0842,428071,434988
59I0903,443647,431684
59I0903,443647,431684
59I1049,430884,436566
59I1115,420714,445599
59I1342,426821,434977
59I1593,439765,447152
59J0854,426287,442356
59J0895,432612,433827
59J0942,428118,427784
59J1002,433228,436192
59J1112,431539,433622
59J1513,430466,435420
59J1554,426233,431660
59K0509,420303,445364
59K0897,431961,430318
59L0612,415910,442016
59L0730,421272,441433
59L0871,422287,436823
59L0871,422287,436823
59L0871,422287,436823
59L1213,430871,434370
59L1282,430885,434249
59M0704,440392,433265
59M0785,431841,435129
59M0863,431915,428139
59M0863,431915,428139
59M1114,430550,433444
59M1738,432085,435597
59N1573,428957,431002
59O0251,443648,437389
59O0534,443618,435559
59O1254,436262,425939
59O1254,436262,425939
59O1281,429149,425879
59P0688,426350,435931
59P1181,430481,433824
59P1181,430481,433824
59Q0296,437461,425649
59Q0312,424799,427790
59Q0312,424799,427790
59Q0912,431604,435249
59Q1075,436104,434837
59Q1308,427393,434637
59Q2019,428256,434464
59Q2019,428256,434464
59R0125,431293,434872
59R0125,431293,434872
59R0351,427888,432914
59R0443,424183,435436
59R0643,423001,432561
59R1540,435034,434984
59R1892,429818,433406
59S1424,428089,426542
59S1424,428089,426542
59S1424,428089,426542
59S1424,428089,426542
59S1424,428089,426542
59S1821,420846,434432
59T0399,434713,428186
59T0399,434713,428186
59T0610,430792,428398
59T0631,428072,433545
59T0631,428072,433545
59U0868,423051,437658
59U1690,438495,430408
59U1761,431268,433827
5A10569,431970,435823
5A11255,431199,431472
5A11545,431511,435122
5A11724,430875,434253
5A20328,432330,440173
5A20351,429137,435243
5A20351,429137,435243
5A20523,425633,432686
5A20633,432368,426056
5A21133,428529,430752
5A21559,426066,427716
5A30363,430906,436556
5A30576,421992,436559
5A31273,432583,433910
5A31385,428045,432830
5A31385,428045,432830
5A31571,425798,440023
5A51285,423689,433833
5A60746,418200,441336
5A60746,418200,441336
5A60746,418200,441336
5A61119,430664,434302
5A61119,430664,434302
5A61577,431147,434329
5A62042,429922,434335
5A70194,429787,430628
5A70354,428097,434515
5A70985,420130,435201
5A81259,435676,434796
5A81545,426576,433899
5A81545,426576,433899
5A82117,426097,437015
5A90960,431586,439580
5A91113,431769,434243
5A91255,433051,427801
5A91468,423414,428088
5AA0617,434001,433885
5AA0955,442620,428001
5AA1280,432886,435728
5AA1326,432322,433117
5AA1331,427915,441535
5AA1702,429062,432243
5AA1775,432358,433693
5AB0728,427825,431259
5AB1553,431738,434584
5AB1553,431738,434584
5AB1640,422049,434381
5AC0971,436190,434397
5AC1941,430698,433015
5AD0025,427518,435873
5AD0086,432447,438783
5AE0112,427241,433281
5AE0112,427241,433281
5AE0647,427798,431233
5AE0647,427798,431233
5AE0908,430855,424427
5AE0924,424238,428281
5AE0924,424238,428281
5AE0941,425622,432956
5AF0162,415641,441634
5AF0162,415641,441634
5AF0277,428788,429716
5AF0277,428788,429716
5AF0405,427745,431177
5AF0759,421795,433954
5AF0879,425231,432304
5AF1145,424873,443594
5AF1211,427568,436873
5AF1232,428799,432656
5AF1337,443528,442842
5AF1376,432868,435934
5AG0765,436349,434228
5AG1238,442104,443235
5AG1352,431001,430600
5AH0421,426294,436972
5AH0978,432526,433756
5AI0028,429342,433478
5AI0822,431373,434229
5AI0980,429962,430873
5AI1224,428567,431620
5AI1224,428567,431620
5AI1448,435333,439426
5AJ0311,438934,436645
5AJ0462,419472,445241
5AJ1098,431630,434983
5AK0639,426811,438012
5AK1289,422956,437695
5AK1341,425151,437879
5AK1810,425625,434226
5AK1838,425205,432538
5AK2252,434848,435776
5AL0394,431143,436269
5AL1210,425948,434690
5AL1306,428743,434077
5AL1485,434500,425884
5AL1485,434500,425884
5AL1485,434500,425884
5AL1615,429609,425744
5AM0314,421634,440843
5AM0319,430007,434147
5AM0344,422808,436098
5AM0734,431187,426500
5AM0734,431187,426500
5AM0970,429429,433957
5AM1636,437584,432327
5AM1636,437584,432327
5AM1636,437584,432327
5AN0290,423799,437360
5AN0439,431481,435011
5AN0439,431481,435011
5AN0856,438656,430082
5AN0877,431626,430525
5AN2038,423932,427819
5AO0335,428717,435614
5AO0770,428001,426144
5AP0528,420493,445130
5AP0528,420493,445130
5AP0840,430495,438549
5AP0905,429670,432928
5AP0979,429487,435412
5AQ0933,427551,430943
5AQ1609,434401,434399
5AR0500,440428,448058
5AR0961,435190,433540
5AR0961,435190,433540
5AR1342,429353,436616
5AS0075,420945,434451
5AS0576,428777,440371
5AS0587,428787,430098
5AS1526,432047,434901
5AS1580,423801,437387
5AS1580,423801,437387
5AS1580,423801,437387
5AS1870,432551,427340
5AT0079,437015,429229
5AT0208,441644,445732
5AT0208,441644,445732
5AT1154,430163,435271
5AT1573,442620,428001
5AT1573,442620,428001
5AT1573,442620,428001
5AU0892,431078,433024
5AU1006,428445,434006
5AU1917,432372,436365
5AV0392,425777,431458
5AV0797,423948,427943
5AV0797,423948,427943
5AV0797,423948,427943
5AV0917,428527,429636
5AV0917,428527,429636
5AV1095,431020,431473
5AV1142,422791,438258
5AV1552,428812,429756
5AV1552,428812,429756
5AV1552,428812,429756
5AV1552,428812,429756
5AV1798,425940,426215
5AV2036,433291,433953
5AV2308,428116,426279
5AV2460,430767,433198
5AV2460,430767,433198
5B11049,429849,432291
5B11049,429849,432291
5B11264,424112,428128
5B11374,442439,442592
5B11374,442439,442592
5B11375,443633,436144
5B11852,430500,437059
5B20288,429044,435359
5B20355,430353,433047
5B20569,432378,433811
5B21618,425281,435051
5B21618,425281,435051
5B21649,432836,434992
5B21798,428233,429700
5B30956,432314,438505
5B31005,437995,433257
5B31005,437995,433257
5B31538,430609,431482
5B31730,429428,435330
5B31950,424442,430611
5B40518,424662,433553
5B41010,424098,428107
5B41010,424098,428107
5B41010,424098,428107
5B41010,424098,428107
5B41162,440391,433558
5B41717,434766,431061
5B50179,429343,433705
5B50179,429343,433705
5B50628,430783,435401
5B51115,423532,441002
5B51161,429135,436759
5B51903,430840,434003
5B60094,429165,431795
5B60567,427415,429716
5B61216,435270,433695
5B61216,435270,433695
5B61216,435270,433695
5B61216,435270,433695
5B62057,428651,430791
5B70667,430623,434205
5B70667,430623,434205
5B71117,421467,442071
5B71117,421467,442071
5B71117,421467,442071
5B71266,424883,435550
5B80713,435932,425873
5B81107,435521,435728
5B81391,428950,433432
5B81526,431309,429134
5B90450,431006,430557
5B90553,437045,435628
5B91199,431837,431355
5B91223,436472,434068
5B92095,430089,433372
5BA0546,434174,435982
5BA0553,428854,430130
5BA0553,428854,430130
5BA0578,422232,433556
5BA0683,428100,433531
5BA0683,428100,433531
5BA0957,432459,433872
5BA1847,435675,434791
5BA1847,435675,434791
5BB1028,430086,431307
5BB1074,425218,429044
5BB1133,429349,433697
5BB1652,433806,433801
5BB1772,426352,428159
5BB1848,430168,438223
5BB1848,430168,438223
5BC1238,423297,435400
5BC1971,428948,440786
5BD0422,429575,430335
5BD0422,429575,430335
5BD0460,431886,435548
5BD1467,420545,440253
5BD2000,429600,432562
5BE0188,432340,438940
5BE0615,426506,433759
5BE1334,431854,426305
5BE1334,431854,426305
5BE1730,431255,429673
5BE1872,430172,438251
5BF0540,429277,433447
5BF1369,423475,434036
5BF1394,427802,431236
5BF1464,422182,428748
5BF1725,423404,435057
5BF1998,430723,438788
5BG0827,421060,439382
5BG1160,423720,434573
5BG1349,443642,436942
5BG1379,426712,435038
5BG1429,443106,440620
5BG1429,443106,440620
5BG1558,440976,447851
5BG1584,428564,434248
5BG2172,421156,441155
5BG2172,421156,441155
5BG2172,421156,441155
5BG2218,432033,437763
5BG2218,432033,437763
5BH0023,428958,435471
5BH0739,431006,430557
5BH0739,431006,430557
5BH0739,431006,430557
5BI0516,431494,431547
5BI1736,430156,434271
5BJ0648,428792,435576
5BJ1117,435327,436536
5BJ1148,429010,436838
5BJ1281,435965,437141
5BJ1378,443519,438293
5BK0285,429666,435844
5BK0335,427659,428116
5BK0499,429940,433031
5BK0748,430070,433831
5BL0225,428902,435507
5BL0229,426280,435596
5BL0333,431420,434084
5BL0713,429598,433440
5BL1639,430076,438408
5BM0300,428962,435478
5BM1024,430091,431309
5BM1324,424657,432799
5BM1361,429881,426405
5BM1504,432474,434863
5BM1579,430337,433736
5BM1636,430089,435422
5BN0954,435724,436928
5BN1231,431336,431590
5BN1687,428935,430409
5BO1212,424878,436945
5BO1212,424878,436945
5BO1421,431066,432003
5BO1581,422014,433943
5BP0570,429430,434017
5BP1490,429242,433910
5BQ0779,426443,427125
5BQ1028,430489,431744
5BQ1437,425564,434138
5BQ1437,425564,434138
5BR0246,422811,437418
5BR0461,426223,431886
5BR1117,433915,434119
5BR1184,434924,435027
5BR1373,438907,426838
5BR1533,428390,434070
5BR1639,428466,428561
5BR1639,428466,428561
5BS0968,430297,434092
5BT1088,415910,442016
5BT1195,429911,434502
5BT1366,432187,433612
5BT1553,427501,425511
5BT1920,424145,428170
5BT2005,431350,435060
5BU0298,427467,433030
5BU0304,429956,434217
5BU0748,431435,429404
5BU0835,428041,434292
5BU1289,424362,432740
5BU1289,424362,432740
5BU2059,431752,434601
5BU2059,431752,434601
5BU2059,431752,434601
5C10567,428444,435062
5C10567,428444,435062
5C11587,429930,432975
5C21152,443629,436542
5C21152,443629,436542
5C21152,443629,436542
5C21152,443629,436542
5C30266,427963,430297
5C30611,427816,435148
5C30611,427816,435148
5C31371,431082,432307
5C40292,424469,433647
5C40875,430838,433997
5C50306,425652,439977
5C50307,426301,435567
5C50329,423240,434748
5C50329,423240,434748
5C50589,426067,427716
5C50617,432436,434836
5C51083,429910,436615
5C51083,429910,436615
5C60332,437781,448278
5C60491,432036,435711
5C60827,428615,433969
5C60885,428728,429690
5C61363,432687,435875
5C61456,431290,431553
5C61765,432524,427557
5C61765,432524,427557
5C61765,432524,427557
5C61932,428631,434605
5C61940,430717,430914
5C70431,426287,444697
5C70525,430415,433747
5C70602,428838,436574
5C70788,427053,439815
5C70960,427797,425850
5C71136,440140,426162
5C71136,440140,426162
5C71161,434339,434341
5C71237,424444,445235
5C80075,429664,435398
5C80709,428528,431535
5C81045,439312,432368
5C81352,428698,433087
5C90568,427622,432470
5C90576,428937,429842
5C90576,428937,429842
5C90697,443460,438470
5C90697,443460,438470
5C90697,443460,438470
5C90697,443460,438470
5C90757,415909,442022
5C90864,424929,427640
5C91441,419954,446142
5C91592,433225,426248
5CA1058,424581,434665
5CA1324,431842,426340
5CA1324,431842,426340
5CA1436,431128,434877
5CA1491,431593,434016
5CA1491,431593,434016
5CA1491,431593,434016
5CA1800,426867,436008
5CB0204,428035,435100
5CB0226,432944,425953
5CB0273,424997,426936
5CB0323,425044,436070
5CB0325,431727,432860
5CB0345,428688,429646
5CB0505,428452,429061
5CB0505,428452,429061
5CB1497,435177,437621
5CB1892,426821,437995
5CC0392,434068,435139
5CC0699,430781,438590
5CC1201,442129,431745
5CC1201,442129,431745
5CC1201,442129,431745
5CC1443,441671,434632
5CC1625,438671,445823
5CC1635,431669,425236
5CC1635,431669,425236
5CD0593,429907,432964
5CD1056,441301,431051
5CD1424,430440,434398
5CD1917,428010,426194
5CE0280,423990,435839
5CE0495,422939,435169
5CE1087,431075,431213
5CE1376,443384,438678
5CE1376,443384,438678
5CE1402,433910,436512
5CE1818,422649,442784
5CE1818,422649,442784
5CE1925,435100,431253
5CE2049,428686,434942
5CF0936,427142,437375
5CF1269,420577,445102
5CG0691,443632,437505
5CG0691,443632,437505
5CG0691,443632,437505
5CG1548,430504,430647
5CH0498,424655,433593
5CH0840,427915,433636
5CH1052,430617,432662
5CH1376,430438,434355
5CH1376,430438,434355
5CI0933,436741,425946
5CI0933,436741,425946
5CI1012,430770,438458
5CI1122,436207,435596
5CI1194,431016,431517
5CI1194,431016,431517
5CI1377,431391,434776
5CI1377,431391,434776
5CJ0853,427837,432935
5CJ0871,432215,436203
5CJ0961,419839,441182
5CJ1116,428047,432828
5CJ1196,432227,433613
5CJ1347,431514,432677
5CJ1379,434953,436436
5CJ1623,425749,432097
5CJ1623,425749,432097
5CJ1932,430779,433346
5CK0941,418021,442691
5CK0941,418021,442691
5CK1817,428454,429077
5CK1834,435289,434830
5CK1973,431301,431732
5CL0858,427199,433534
5CL0858,427199,433534
5CL1088,436204,436253
5CL1122,431914,428209
5CM0267,425974,433087
5CM1715,428432,435006
5CN0571,434997,438393
5CN1067,437312,429479
5CN1067,437312,429479
5CN1387,429221,431514
5CO0357,424970,440039
5CO0478,426230,431901
5CQ0436,424791,435328
5CQ0470,428399,427183
5CQ0762,430516,432719
5CR1051,430543,435124
5CR1299,430240,433914
5CU0470,442104,434636
5CU0926,431181,434172
5CU1803,431965,435832
5CV0814,432096,427519
5CV0814,432096,427519
5CV0814,432096,427519
5CV0814,432096,427519
5CV1097,429895,433375
